account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,customer_age_days,singup_month,singup_quarter,capital,region,population,currency,flag
A-2e4581,Company_0,Edtech,Us,2024-10-16,Partner,Basic,9,False,False,645,October,4,,,,,
A-43a9e3,Company_1,Fintech,In,2023-08-17,Other,Basic,18,False,True,1071,August,3,,,,,
A-0a282f,Company_2,Devtools,Us,2024-08-27,Organic,Basic,1,False,False,695,August,3,,,,,
A-1f0ac7,Company_3,Healthtech,Uk,2023-08-27,Other,Basic,24,True,False,1061,August,3,,,,,
A-ce550d,Company_4,Healthtech,Us,2024-10-27,Event,Enterprise,35,False,True,634,October,4,,,,,
A-1b9609,Company_5,Edtech,In,2023-10-12,Ads,Enterprise,4,False,False,1015,October,4,,,,,
A-a0ca4e,Company_6,Cybersecurity,Us,2024-03-08,Ads,Pro,11,False,False,867,March,1,,,,,
A-e5d6ab,Company_7,Edtech,Us,2023-04-15,Partner,Pro,3,False,False,1195,April,2,,,,,
A-7dacce,Company_8,Cybersecurity,Ca,2024-09-10,Event,Enterprise,12,False,True,681,September,3,,,,,
A-10b8da,Company_9,Devtools,Us,2023-05-08,Partner,Enterprise,14,False,True,1172,May,2,,,,,
A-592832,Company_10,Cybersecurity,Us,2024-09-25,Organic,Basic,18,False,True,666,September,3,,,,,
A-d40bf7,Company_11,Fintech,In,2024-11-08,Organic,Basic,59,False,False,622,November,4,,,,,
A-6c093d,Company_12,Devtools,Us,2023-04-14,Partner,Basic,7,True,False,1196,April,2,,,,,
A-462d45,Company_13,Cybersecurity,Us,2024-01-15,Partner,Enterprise,11,True,False,920,January,1,,,,,
A-956988,Company_14,Edtech,Uk,2024-11-30,Ads,Enterprise,1,False,False,600,November,4,,,,,
A-ac14bb,Company_15,Fintech,Us,2023-09-08,Partner,Enterprise,21,False,False,1049,September,3,,,,,
A-463db0,Company_16,Healthtech,Us,2024-12-05,Partner,Basic,15,False,False,595,December,4,,,,,
A-ce66f8,Company_17,Edtech,Ca,2023-08-23,Event,Pro,29,False,False,1065,August,3,,,,,
A-c4ea60,Company_18,Fintech,De,2023-03-09,Other,Enterprise,18,False,True,1232,March,1,,,,,
A-832ec2,Company_19,Fintech,Uk,2023-11-19,Event,Enterprise,4,True,False,977,November,4,,,,,
A-684255,Company_20,Fintech,Us,2024-04-14,Ads,Enterprise,9,False,False,830,April,2,,,,,
A-c42f1f,Company_21,Healthtech,Us,2024-07-28,Other,Pro,8,False,False,725,July,3,,,,,
A-4e44e8,Company_22,Devtools,Us,2024-08-20,Ads,Enterprise,3,False,True,702,August,3,,,,,
A-30b4ca,Company_23,Edtech,In,2024-05-20,Organic,Basic,86,False,True,794,May,2,,,,,
A-9f2731,Company_24,Fintech,In,2024-10-04,Event,Enterprise,1,False,False,657,October,4,,,,,
A-32fb14,Company_25,Devtools,Us,2023-03-07,Event,Enterprise,26,False,True,1234,March,1,,,,,
A-00cac8,Company_26,Healthtech,Au,2023-09-15,Organic,Enterprise,8,True,False,1042,September,3,,,,,
A-35083d,Company_27,Healthtech,In,2023-04-28,Partner,Basic,19,False,True,1182,April,2,,,,,
A-eb7fac,Company_28,Devtools,Us,2023-10-28,Organic,Enterprise,7,False,False,999,October,4,,,,,
A-b20d99,Company_29,Healthtech,In,2023-09-27,Other,Basic,20,False,False,1030,September,3,,,,,
A-396e5f,Company_30,Cybersecurity,Ca,2024-10-02,Other,Enterprise,2,False,False,659,October,4,,,,,
A-45ce7a,Company_31,Fintech,Us,2023-07-23,Ads,Enterprise,16,False,False,1096,July,3,,,,,
A-08e34e,Company_32,Edtech,Us,2024-06-27,Event,Basic,14,False,True,756,June,2,,,,,
A-8145a0,Company_33,Cybersecurity,Au,2023-04-25,Partner,Basic,2,True,False,1185,April,2,,,,,
A-bad8c1,Company_34,Fintech,Au,2023-03-01,Organic,Basic,7,False,False,1240,March,1,,,,,
A-44dc83,Company_35,Edtech,Fr,2024-05-12,Other,Basic,5,False,False,802,May,2,,,,,
A-f446b6,Company_36,Devtools,De,2023-05-12,Ads,Pro,5,True,False,1168,May,2,,,,,
A-a45270,Company_37,Healthtech,Us,2024-06-24,Ads,Enterprise,3,False,False,759,June,2,,,,,
A-854864,Company_38,Fintech,In,2024-12-07,Event,Enterprise,20,False,False,593,December,4,,,,,
