feature_name,Total_Usage
feature_32,6686
feature_15,6621
feature_6,6546
feature_20,6541
feature_34,6536
feature_12,6534
feature_11,6533
feature_2,6525
feature_38,6478
feature_26,6470
feature_17,6458
feature_39,6430
feature_31,6425
feature_36,6389
feature_24,6388
feature_10,6384
feature_37,6380
feature_4,6374
feature_22,6366
feature_1,6364
feature_29,6362
feature_30,6309
feature_33,6274
feature_16,6273
feature_27,6231
feature_40,6222
feature_28,6213
feature_9,6207
feature_7,6113
feature_13,6099
feature_25,6091
feature_8,6030
feature_21,5950
feature_3,5917
feature_19,5900
feature_14,5880
feature_18,5850
feature_35,5816
feature_5,5759
feature_23,5601
